Group,Bar,Label,Value
"School, Neighborhood, or Community Association",White,,14.9
"School, Neighborhood, or Community Association",African American/Black,,16.6
"School, Neighborhood, or Community Association",Asian American,,19.9
"School, Neighborhood, or Community Association",Latino,,8.2
Service or Civic Association,White,,10.1
Service or Civic Association,African American/Black,,4.5
Service or Civic Association,Asian American,,3.2
Service or Civic Association,Latino,,3.3
Religious Association,White,,16.5
Religious Association,African American/Black,,25.1
Religious Association,Asian American,,13.2
Religious Association,Latino,,17.9
Leader in a Group,White,,12.8
Leader in a Group,African American/Black,,10.1
Leader in a Group,Asian American,,5.7
Leader in a Group,Latino,,6.4
